../instancias/i00,18,18,15,0.00,0.00,0.00
../instancias/i01,24,24,56,0.00,0.00,0.00
../instancias/i08,212,204,5584,0.00,0.00,0.00
../instancias/i08b,186,156,6832,0.00,0.00,0.00
../instancias/i09,197,191,2898,0.00,0.00,0.00
../instancias/i10,2177,1847,52910,0.00,0.00,0.00
../instancias/i10b,156,134,40180,0.00,0.00,0.00
../instancias/i11,2965,2965,4235,0.00,0.00,0.00
../instancias/i12,3017,2865,65964,0.00,0.00,0.00
../instancias/i12b,302,245,260316,0.01,0.00,0.01
../instancias/i13,24619,19454,1232673,0.02,0.00,0.03
../instancias/i13b,692,546,922428,0.03,0.00,0.04
../instancias/i14,458,364,1507968,0.04,0.00,0.06
../instancias/i15,266,226,3080760,0.08,0.00,0.10
../instancias/i16,729,676,1903472,0.01,0.00,0.03
../instancias/i17,834,777,6680847,0.03,0.00,0.09
../instancias/i18,974,856,19611180,0.05,0.00,0.23
../instancias/i19,1009,946,4172438,0.01,0.00,0.04
../instancias/i20,1128,962,308802840,1.45,0.00,4.70
../instancias/i21,1089,961,130500804,0.42,0.00,1.58
../instancias/i22,1183,1029,337896460,0.95,0.00,3.97
../instancias/i23,1267,1132,763889754,1.91,0.00,8.03
../instancias/i24,1146,1052,432404136,0.99,0.00,4.36
../instancias/i25,1810,1705,244920400,0.42,0.00,2.03
../instancias/i26,1525,1462,190663408,0.23,0.00,1.42
../instancias/i27,2050,1953,628968132,0.95,0.00,4.91
../instancias/i28,1970,1795,3888778180,8.52,0.00,33.25
../instancias/i29,2250,2092,6231912602,11.94,0.00,50.26
../instancias/i30,2126,1896,10818922050,16.45,0.00,91.40
